code14,name14,prov14,name_carto,code24,name24,label04,idh04,src04,taux_pauvrete04,vulnerabilite04,severite04,inegalite04,ids04,mpi_rate04c,mpi_idx04c,mpi_int04c,mpi_rate14c,mpi_idx14c,mpi_int14c,pov_glob14c,mpi2014,mpi2024,mpi_intensity2014,mpi_intensity2024,mpi_rate2014,mpi_rate2024,vulnerability2014,vulnerability2024,menages14,population14,level,cercle,src14,src24
02.381.05.07.,Bni Sidel Louta,Nador,Bni Sidel Louta,23810507.0,Commune de Bni Sidel Louta,Nador Bni Sidel Louta,0.544,direct,25.38,24.23,3.06,34.88,0.316,31.823762893676758,13.444429397583008,42.24651336669922,16.075124740600586,6.415902137756348,39.911991119384766,21.67752,0.0913134291768074,0.03870103135704994,40.374542236328125,37.79633331298828,22.61658477783203,10.239361763000488,29.31720542907715,17.07826805114746,1389.0,6283.0,commune,02.381.05.,,
02.381.05.09.,Bouarg,Nador,Bouarg,23810509.0,Commune de Bouarg,Nador Bouarg,0.554,direct,18.11,22.5,1.78,34.16,0.398,30.30727195739746,13.249492645263672,43.71720504760742,6.224660396575928,2.3507726192474365,37.765480041503906,8.269056,0.04305971786379814,0.025659700855612755,38.496673583984375,36.12557601928711,11.185308456420898,7.1029181480407715,14.844847679138184,8.8724946975708,7889.0,37737.0,commune,02.381.05.,,
02.381.05.13.,Iaazzanene,Nador,Iaazzanene,23810513.0,Commune d'Iaazzanene,Nador Iaazzanene,0.618,direct,11.57,17.48,1.09,34.01,0.533,24.75666618347168,10.326327323913574,41.711299896240234,7.129337787628174,2.6137900352478027,36.662452697753906,8.522728999999998,0.05588103458285332,0.025954293087124825,37.553001403808594,35.34660339355469,14.880577087402344,7.342796802520753,16.998647689819336,4.790870666503906,2425.0,11131.0,commune,02.381.05.,,
02.381.05.15.,Ihaddadene,Nador,Ihaddadene,23810515.0,Commune d'Ihaddadene,Nador Ihaddadene,0.532,direct,19.06,23.04,1.98,30.21,0.323,52.54083251953125,22.494455337524414,42.81328201293945,9.714285850524902,4.149660110473633,42.71708679199219,14.448973999999998,0.033174969255924225,0.023038744926452637,36.46704362834028,35.87885081819016,9.09724625381039,6.4212603195279545,8.915998511382535,6.4702314708702655,3189.0,14345.0,commune,02.381.05.,,
02.381.05.17.,Iksane,Nador,Iksane,23810517.0,Commune d'Iksane,Nador Iksane,0.626,direct,14.28,19.74,1.46,33.81,0.635,20.70880889892578,8.81568717956543,42.56974411010742,6.320542335510254,2.4645888805389404,38.993316650390625,11.999522,0.04511372745037079,0.027975397184491158,38.31707763671875,37.1611328125,11.773791313171387,7.528133392333984,16.633005142211914,9.170870780944824,1870.0,8417.0,commune,02.381.05.,,
02.381.07.01.,Afsou,Nador,Afsou,23810701.0,Commune d'Afsou,Nador Afsou,0.424,direct,34.78,28.07,4.18,31.17,0.169,69.46967315673828,32.50480270385742,46.7899169921875,37.2783088684082,15.736320495605469,42.21307373046875,39.529349999999994,0.20763225853443146,0.10539054125547409,43.67129135131836,40.3963737487793,47.54433822631836,26.089109420776367,18.929058074951172,17.376237869262695,467.0,2932.0,commune,02.381.07.,,
02.381.07.03.,Al Barkanyene,Nador,Al Barkanyene,23810703.0,Commune d'Al Barkanyene,Nador Al Barkanyene,0.368,direct,21.17,24.48,2.13,30.05,0.396,41.86046600341797,17.695289611816406,42.2720832824707,10.314960479736328,4.122922420501709,39.970314025878906,12.913390000000001,0.07421259582042694,0.04689786583185196,39.68421173095703,41.089744567871094,18.700786590576172,11.413520812988281,19.803150177001953,27.172958374023438,565.0,2540.0,commune,02.381.07.,,
02.381.07.05.,Arekmane,Nador,Arekmane,23810705.0,Commune d'Arekmane,Nador Arekmane,0.598,direct,12.48,19.06,1.19,33.61,0.33,28.051265716552734,11.78148365020752,41.99982833862305,10.112188339233398,4.093210220336914,40.477989196777344,15.240791,0.04888667166233063,0.0492045097053051,39.19837779844046,37.67713028770858,12.471606197738854,13.05951661621498,20.562466013695886,10.59267801732627,4180.0,18490.0,commune,02.381.07.,,
02.381.07.07.,Bni Oukil Oulad M'Hand,Nador,Bni Oukil  Oulad M'Hand,23810707.0,Commune de Bni Oukil Oulad M'hand,Nador Bni Oukil Oulad M'Hand,0.527,direct,30.14,26.38,3.54,33.61,0.214,50.047637939453125,22.717119216918945,45.390995025634766,15.340749740600586,5.958576202392578,38.84149169921875,24.941609999999997,0.08020421117544174,0.051870524883270264,40.35486602783203,39.319175720214844,19.874731063842773,13.192170143127441,29.597084045410156,23.33195304870606,2060.0,10697.0,commune,02.381.07.,,
02.381.07.09.,Hassi Berkane,Nador,Hassi-Berkane,23810709.0,Commune de Hassi-Berkane,Nador Hassi Berkane,0.488,direct,35.54,26.33,4.69,33.39,0.279,65.79563903808594,30.99552345275879,47.10877990722656,25.964391708374023,11.40404224395752,43.92185974121094,32.86794,0.15374471247196198,0.08206884562969208,45.0689582824707,41.77489471435547,34.113216400146484,19.64549446105957,32.12736892700195,21.68658447265625,1585.0,8788.0,commune,02.381.07.,,
02.381.07.11.,Oulad Daoud Zkhanine,Nador,Oulad Daoud Zkhanine,23810711.0,Commune d'Oulad Daoud Zkhanine,Nador Oulad Daoud Zkhanine,0.539,direct,17.37,22.78,1.71,32.24,0.216,48.47045135498047,21.305646896362305,43.95595169067383,15.736040115356445,6.28031587600708,39.91039276123047,19.00403,0.0921601876616478,0.05587352067232132,40.571075439453125,36.9941520690918,22.715736389160156,15.103338241577148,27.58883285522461,13.799681663513184,942.0,3940.0,commune,02.381.07.,,
02.381.07.13.,Oulad Settout,Nador,Oulad Settout,23810713.0,Commune d'Oulad Settout,Nador Oulad Settout,0.524,direct,17.35,21.86,1.82,33.72,0.485,37.61966323852539,16.619876861572266,44.17869567871094,18.137683868408203,7.312077522277832,40.31428527832031,24.20403,0.09380102902650833,0.0358150415122509,41.523075103759766,38.229148864746094,22.590097427368164,9.36851692199707,27.108118057250977,12.24279022216797,4723.0,23218.0,commune,02.381.07.,,
